Channel Name,Channel ID,Category
International Couple[사샤와 제이],UCUX1V5UNWP1RUkhLewe77ZQ,인물/유명인
play 채널A,UCaZS_XwAu1yBMNoQDD1mR7g,엔터테인먼트
FRAN,UC8kRUGUkq_sTGuKNR1l6Rrw,푸드/쿠킹
찐푸드 JJin Food,UCdz7HcTQOaHCoAEJBs-MlNQ,푸드/쿠킹
ROOKIEMING 루키밍,UCnCyCLS6IpDizrFSXED1S9g,취미
A.I.Channel,UC4YaOt1yT-ZeyB0OmxHgolA,취미
지현꿍,UCyG7zAV_2JlPnxhwDxZN6sA,푸드/쿠킹
Pan K's The Pancake Artist,UCUHO_Qus2BYhVv9_oIwfHVQ,취미
짤툰,UCszFjh7CEfwDb7UUGb4RzCQ,영화/애니메이션
GIRLS' GENERATION,UCPENYtHg4Xhmm6oX8zaQA7Q,음악/댄스
만두민 ManDooMiN,UC3DYSay178fMMPaf3zHwECA,경제/금융/재테크
1분요리 뚝딱이형,UC0htUSwcxfSGNfK_5Q28JkA,스포츠/헬스
디글 클래식 :Diggle Classic,UCRMA_Nb5VF-YoWApSVeXPVA,엔터테인먼트
겜브링 GGAM BRING,UCSOeJWyByeoBHpmrm0NnlLw,게임
CNBC Television,UCrp_UI8XtuYfpiqluWLD7Lw,뉴스/정치/이슈
FIBA - The Basketball Channel,UCtInrnU3QbWqFGsdKT1GZtg,스포츠/헬스
양수빈,UCYJrfuYXNqb5XSRd22XRwGw,푸드/쿠킹
피식대학Psick Univ,UCGX5sP4ehBkihHwt5bs5wvg,엔터테인먼트
흔한남매,UCU8uafr_iROxRVI6c23Q_bA,엔터테인먼트
"토닥토닥 꼬모 - 애니메이션, 동요, 놀이",UCVvke1BdYuZc7DYIAyDSQHQ,키즈
BuzzFeedViolet,UC2GnuulpFRtTGFNuS1LKL5g,교육/강의
나도Nado,UCf9sl-IcwNXDqWwWwp4vEwg,푸드/쿠킹
OfficialGDRAGON,UCeU5qTuBiqTU5z-hyL6WITQ,음악/댄스
새송 Saesong,UCyvqwwpQYUHfQhm6g4UHRsQ,음악/댄스
RoCars,UCPOhQupz3MwGSIBG0OqVnAg,차/배/바이크
Kittisaurus,UCwcsDWGip6vtiZyCnvDoClQ,동물/펫
THE K-POP,UCoRXPcv8XK5fAplLbk9PTww,음악/댄스
감스트GAMST,UCbFzvzDu17eDZ3RIeaLRswQ,게임
채널A News,UCfq4V1DAuaojnr2ryvWNysw,뉴스/정치/이슈
Tesla,UC5WjFrtBdufl6CZojX3D8dQ,뉴스/정치/이슈
진용진,UCIG4gr_wIy5CIlcFciUbIQw,인물/유명인
보라미TV BoramiTV,UCtluW96Vp3Z7tzvU1orf3Vw,키즈
Blue's Clues & You!,UCjZo1E1P6wDDyw6ImVgKM-A,영화/애니메이션
Love Life Lyrics,UCvt5p3A11M8zd8iJPCC5XvQ,음악/댄스
Coromo Sara. ASMR,UCmZb4LwQRhEzZX5Uqpcqziw,음악/댄스
스브스 예능맛집,UCnx4Fi4cmkLGDiFfZ311wWw,푸드/쿠킹
Creative Cooking,UCNCT7P70OGljn0coPgmgG-w,키즈
Tup Viral,UCMaFFSUZeu1ptkKSE2j8Jag,영화/애니메이션
ASMR PPOMO,UCAtFkapSeoEGPxm5bC3tvaw,취미
하미마미 Hamimommy,UCy0229ISL-677SAuK_1In_A,라이프스타일
Rock 'N Learn,UCExx109KH5msQR0n52ZzyAw,키즈
침착맨,UCUj6rrhMTR9pipbAWBAMvUQ,인물/유명인
[Nareum_TV] 나름TV,UCq9MDndXc1y3he3uPZLPskQ,푸드/쿠킹
ShiliASMR,UCOBHKG15OQ71uXgUVnaaIJg,라이프스타일
Seventeen,UC0IXvMUUPeYNVGe88ieMDEg,엔터테인먼트
Pekora Ch. 兎田ぺこら,UC1DCedRgGHBdm81E1llLhOQ,교육/강의
MBN Entertainment,UCYyLIlOJyqkAFKlVjzX5img,엔터테인먼트
한세 HANSE,UCZTavrg2A43lQMWxiK3yu7g,푸드/쿠킹
ITSub잇섭,UCdUcjkyZtf-1WJyPPiETF1g,IT/기술/과학
